predictor,median,scheme,fold
winyear_mean,26.461616438356163,reef_blocked_5fold,5
winyear_sd,2.042098918758619,reef_blocked_5fold,5
mcur_90,0.24336664,reef_blocked_5fold,5
dist_to_er_km,1.2219908813346654,reef_blocked_5fold,5
secc3m,13.65681216067852,reef_blocked_5fold,5
secc3m_p10,10.697205807327016,reef_blocked_5fold,5
cloudp_90,0.7158458,reef_blocked_5fold,5
wqc_freqcc12,0.1492893522166055,reef_blocked_5fold,5
wqc_prior10_percentile,0.5,reef_blocked_5fold,5
log1p_cyc_maxHrs4mw,0,reef_blocked_5fold,5
log1p_cot_idwmeanpertow,0.00189819728308025,reef_blocked_5fold,5
log_coastal_rain30,5.978015741796269,reef_blocked_5fold,5
era5_wind_mean,5.7756476402282715,reef_blocked_5fold,5
era5_wind_calm_fraction,0.10989010989010987,reef_blocked_5fold,5
era5_coastal_distance_km,38.660259476645,reef_blocked_5fold,5
previous_change_available,1,reef_blocked_5fold,5
wqc_available,1,reef_blocked_5fold,5
cots_available,1,reef_blocked_5fold,5
mortality_environment_available,0,reef_blocked_5fold,5
weather_available,0,reef_blocked_5fold,5
pre_cover,0.23522394748682895,forward_2024_2025,2024_2025
available_space,0.764776052513171,forward_2024_2025,2024_2025
interval_years,1.0130047912388775,forward_2024_2025,2024_2025
prior_change_pp,0.7423584127826066,forward_2024_2025,2024_2025
prop_acropora_pre,0.25792108628559274,forward_2024_2025,2024_2025
acropora_cover_pre,0.05572449115295854,forward_2024_2025,2024_2025
depth,9,forward_2024_2025,2024_2025
sst_maxdhw,1,forward_2024_2025,2024_2025
dhw_excess4,0,forward_2024_2025,2024_2025
dhw_excess8,0,forward_2024_2025,2024_2025
histmDHW6,7.45,forward_2024_2025,2024_2025
yrsince6,5,forward_2024_2025,2024_2025
histmDHW4,5.985,forward_2024_2025,2024_2025
yrsince4,3,forward_2024_2025,2024_2025
dhw10_load4,4.859999999999999,forward_2024_2025,2024_2025
dhw_novelty10,-2.56,forward_2024_2025,2024_2025
ann_maxsst,30.29,forward_2024_2025,2024_2025
winyear_mean,26.493068493150684,forward_2024_2025,2024_2025
winyear_sd,2.0234440609619746,forward_2024_2025,2024_2025
mcur_90,0.25420892,forward_2024_2025,2024_2025
dist_to_er_km,1.25229897119362,forward_2024_2025,2024_2025
secc3m,14.886162757873535,forward_2024_2025,2024_2025
secc3m_p10,11.307895097741175,forward_2024_2025,2024_2025
cloudp_90,0.69019616,forward_2024_2025,2024_2025
wqc_freqcc12,0.0940861978177227,forward_2024_2025,2024_2025
wqc_prior10_percentile,0.5,forward_2024_2025,2024_2025
log1p_cyc_maxHrs4mw,0,forward_2024_2025,2024_2025
log1p_cot_idwmeanpertow,0.00159872136369702,forward_2024_2025,2024_2025
log_coastal_rain30,5.979312548097701,forward_2024_2025,2024_2025
era5_wind_mean,5.682276725769043,forward_2024_2025,2024_2025
era5_wind_calm_fraction,0.12222222222222222,forward_2024_2025,2024_2025
era5_coastal_distance_km,53.02430121520352,forward_2024_2025,2024_2025
previous_change_available,1,forward_2024_2025,2024_2025
wqc_available,1,forward_2024_2025,2024_2025
cots_available,1,forward_2024_2025,2024_2025
mortality_environment_available,0,forward_2024_2025,2024_2025
weather_available,0,forward_2024_2025,2024_2025
